I
1100 Version - data cycle 2306, build 20240704, metadata AwyXP1100. Copyright (c) 2024 Navigraph, Datasource Jeppesen

ABATA UE 11 OLEMU UE 11 N 2 265 540 T640
ABATA UE 11 ORTEK UE 11 N 1  55 405 W193
ABATA UE 11 ORTEK UE 11 N 2  55 405 W193
ABATA UE 11 PADUS UE 11 N 2 265 540 T189
ABATA UE 11 PANAR UE 11 N 2 265 540 M988
ABATA UE 11 RUNON UE 11 N 2 265 540 M177
ABATA UE 11 TIMNU UE 11 N 2 265 540 T478
ABATA UE 11 UNSES UE 11 N 1  85 405 W199
ABATA UE 11 UNSES UE 11 N 2  85 405 W199
ABATE SB 11 ASIKI SB 11 N 2 250 600 UM775
ABATE SB 11 ESDOP SB 11 N 2 250 600 UM402
ABATE SB 11 NIBMI SB 11 N 2 250 600 UM402
ABATE SB 11 PAGUS SB 11 N 1 180 245 A430
ABATE SB 11 UGINA SB 11 N 1 180 245 A430
ABATE SB 11 UGINA SB 11 N 2 250 600 UM775
ABATE SB 11 VANES SB 11 F 2 250 600 UZ52
ABATI DT 11 RELBA DT 11 N 1  75 245 G361
  ABA TN  3 ADRIV TN 11 N 1  30 195 A574
  ABA TN  3 ALCOT SV 11 F 1  30 195 G442
  ABA TN  3 ALCOT SV 11 F 2 195 600 UL332
  ABA TN  3 APNUT TN 11 N 1  30 195 G885
  ABA TN  3 ATUBI TN 11 N 2 195 600 UL450
  ABA TN  3 DATOR TN 11 N 1  50 195 A574
  ABA TN  3 DATOR TN 11 N 2 195 600 UL220
  ABA TN  3 DENSU TN 11 N 2 290 600 UL674
  ABA TN  3 FARBS TN 11 N 2 290 600 UL468
  ABA TN  3 GADGO TN 11 N 2 195 600 UL332
  ABA TN  3 ITSEL TN 11 N 1  50 195 R568
  ABA TN  3 MOBAM TN 11 N 1  30 195 A567
  ABA TN  3 NOREX TN 11 N 1  30 195 A567
  ABA TN  3 NOREX TN 11 N 2 195 600 UL450
  ABA TN  3 ONDAS TN 11 N 2 195 600 UG885
  ABA TN  3   PJG TN  3 N 2 195 600 UL220
  ABA TN  3 TETUM TN 11 N 1  30 195 G442
ABATO GM 11 KEGAG GM 11 N 1 125 195 G664
ABATO GM 11 KEGAG GM 11 N 2 195 460 UG664
ABATO GM 11 TOPMA GM 11 N 1 155 195 G664
ABATO GM 11 TOPMA GM 11 N 2 195 460 UG664
ABAVA EV 11 ALMIK EV 11 N 1  95 660 P171
ABAVA EV 11 ALMIK EV 11 N 2  95 660 P171
ABAVA EV 11 BETAL EV 11 N 1  95 660 P171
ABAVA EV 11 BETAL EV 11 N 2  95 660 P171
ABAVA EV 11 IGORO EV 11 F 1  95 660 L199
ABAVA EV 11 IGORO EV 11 F 2  95 660 L199
ABAVO FZ 11 GOPUR FE 11 N 2 245 600 UT139
ABAXI EN 11 TIPEL EN 11 F 2 195 660 T65
  ABA YM  2 HOODY YM 11 N 1   0 200 W486
  ABA YM  2 PAVSO YM 11 N 1   0 200 W185
ABBAS OS 11 SOFIA OS 11 N 1 100 600 G202
ABBAS OS 11 SOFIA OS 11 N 2 100 600 G202
ABBAS OS 11 SULAF OS 11 N 1 100 600 G202
ABBAS OS 11 SULAF OS 11 N 2 100 600 G202
ABBAS OS 11 ZELAF OJ 11 F 1 290 600 R785
ABBAS OS 11 ZELAF OJ 11 F 2 290 600 R785
ABBEW EG 11 DAWLY EG 11 N 1  70 245 N864
ABBEW EG 11 ZEFIQ EG 11 F 1  90 245 N90
ABBIS GG 11 GULAV GG 11 N 1  35 245 B600
ABBIS GG 11 POTOX GO 11 N 1  35 245 B600
  ABB LF  3 BANTI LF 11 N 1  65 145 H22
  ABB LF  3   BNE LF  3 F 1  65 195 N57
  ABB LF  3 DIMAL LF 11 F 1  65 195 T20
  ABB LF  3   DPE LF  3 N 1  65 195 R50
  ABB LF  3 KUNAV LF 11 F 1 115 195 N20
  ABB LF  3 NEBRU LF 11 N 1  65 195 H40
  ABB LF  3 OBIVA LF 11 N 1  65 195 R50
  ABB LF  3 RATUK LF 11 F 1  65 195 T22
  ABC DN  3 GEDKI DN 11 N 1  55 245 V224
  ABC DN  3 GEDKI DN 11 N 2 245 600 UV224
  ABC DN  3 GURAP DN 11 N 1  75 245 V456
  ABC DN  3 GURAP DN 11 N 2 245 600 UV456
  ABC DN  3 IRNUL DN 11 N 2 245 600 UT416
  ABC DN  3 LUKRO DN 11 N 1  75 245 W225
  ABC DN  3 LUKRO DN 11 N 2 245 600 UW225
