uid,name,manufacturer,type,bpr,pr,max_thrust,ei_hc_to,ei_hc_co,ei_hc_app,ei_hc_idl,ei_co_to,ei_co_co,ei_co_app,ei_co_idl,ei_nox_to,ei_nox_co,ei_nox_app,ei_nox_idl,ff_to,ff_co,ff_app,ff_idl,fuel_lto,cruise_thrust,cruise_sfc,cruise_mach,cruise_alt
7PW079,PW308A,Pratt & Whitney Canada,MTF,4.1,20.4,30710,0.0,0.0,0.02,6.62,0.83,1.06,4.08,38.21,16.74,14.06,8.03,3.65,0.3604,0.2991,0.1235,0.0445,154.0,,,,
14PW103,PW308C,Pratt & Whitney Canada,MTF,4.1,21.07,31150,0.0,0.0,0.0,0.39,0.5,0.57,4.18,37.05,19.1,14.96,6.8,3.53,0.37,0.307,0.116,0.049,160.0,,,,
1PW042,PW4056,Pratt & Whitney,TF,4.7,29.3,249100,0.06,0.01,0.13,1.92,0.44,0.57,2.0,21.86,28.1,22.9,11.6,4.8,2.342,1.93,0.658,0.208,836.0,,,,
2PW060,PW4074,Pratt & Whitney,TF,6.8,32.2,333200,0.1,0.1,0.2,3.2,0.1,0.1,0.4,21.0,38.1,31.5,11.0,4.2,2.899,2.368,0.795,0.228,981.0,,,,
3PW063,PW4074D,Pratt & Whitney,TF,6.7,31.76,333200,0.03,0.05,0.08,5.07,0.23,0.25,0.64,34.34,42.35,34.48,11.88,3.81,2.949,2.416,0.81,0.239,1010.0,,,,
2PW061,PW4077,Pratt & Whitney,TF,6.7,33.2,343000,0.1,0.1,0.2,3.0,0.1,0.1,0.4,20.2,39.8,32.5,11.3,4.2,3.019,2.452,0.816,0.232,1008.0,,,,
10PW097,PW4077D,Pratt & Whitney,TF,6.6,33.3,355700,0.02,0.02,0.04,2.82,0.29,0.34,0.86,24.8,44.68,34.05,11.63,3.81,3.172,2.562,0.892,0.31,1169.1,,,,
8PW089,PW4084,Pratt & Whitney,TF,6.4,36.2,369600,0.1,0.1,0.2,2.7,0.1,0.1,0.4,18.73,45.0,35.5,12.0,4.4,3.411,2.689,0.875,0.242,1086.0,,,,
10PW098,PW4084D,Pratt & Whitney,TF,6.2,36.3,385900,0.02,0.02,0.04,2.16,0.28,0.32,0.66,21.12,51.39,37.78,12.27,3.99,3.557,2.809,0.954,0.322,1251.3,,,,
10PW099,PW4090,Pratt & Whitney,TF,6.0,38.9,408300,0.02,0.02,0.04,0.69,0.27,0.31,0.55,11.94,57.52,41.17,12.74,4.48,3.926,2.996,0.979,0.338,1322.6,,,,
1PW045,PW4152,Pratt & Whitney,TF,4.9,26.9,231270,0.03,0.01,0.13,2.24,0.5,0.62,2.29,23.67,25.3,21.1,11.1,4.8,2.129,1.783,0.613,0.203,789.0,,,,
1PW047,PW4156,Pratt & Whitney,TF,4.7,29.3,249100,0.06,0.01,0.13,1.92,0.44,0.57,2.0,21.86,28.1,22.9,11.6,4.8,2.342,1.93,0.658,0.208,836.0,,,,
1PW048,PW4158,Pratt & Whitney,TF,4.6,30.7,258000,0.09,0.02,0.14,1.78,0.4,0.54,1.88,20.99,30.2,23.7,11.8,4.8,2.481,2.004,0.682,0.211,862.0,,,,
7PW081,PW4164,Pratt & Whitney,TF,5.2,30.1,284680,0.0,0.0,0.0,0.37,0.19,0.18,2.84,17.73,23.87,18.66,11.88,4.99,2.668,2.2,0.766,0.24,961.0,,,,
9PW092,PW4164-1D,Pratt & Whitney,TF,5.06,31.3,286900,0.0,0.0,0.06,1.44,0.16,0.17,1.55,17.13,26.31,20.97,12.1,3.79,2.721,2.239,0.775,0.243,975.0,,,,
5PW075,PW4168,Pratt & Whitney,TF,5.1,31.84,302500,0.0,0.0,0.0,0.2,0.1,0.2,2.4,15.9,26.9,20.2,12.1,5.2,2.884,2.363,0.809,0.25,1017.0,,,,
9PW093,PW4168-1D,Pratt & Whitney,TF,4.92,33.1,305100,0.0,0.0,0.05,0.95,0.17,0.18,1.26,14.78,30.15,22.31,12.39,4.08,2.937,2.398,0.818,0.252,1029.0,,,,
7PW082,PW4168A,Pratt & Whitney,TF,5.1,31.84,302500,0.0,0.0,0.0,0.2,0.1,0.2,2.4,15.9,26.9,20.2,12.1,5.2,2.884,2.363,0.809,0.25,1017.0,,,,
9PW094,PW4168A-1D,Pratt & Whitney,TF,4.92,33.1,305100,0.0,0.0,0.05,0.95,0.17,0.18,1.26,14.78,30.15,22.31,12.39,4.08,2.937,2.398,0.818,0.252,1029.0,,,,
12PW101,PW4060,Pratt & Whitney,TF,4.7,29.7,266900,0.08,0.06,0.1,11.63,0.58,0.49,2.04,44.46,31.74,25.03,11.91,3.72,2.567,2.036,0.696,0.206,865.0,,,,
12PW102,PW4062,Pratt & Whitney,TF,4.6,31.0,275800,0.08,0.07,0.09,10.86,0.61,0.5,1.93,42.61,34.36,25.98,12.17,3.78,2.725,2.125,0.718,0.21,894.0,,,,
