# code,name,lat,lon,class,alt,country code
, ANDERSON MUNI DARLINGTON FLD, 40.109, -85.613, Large, 5400, US/IN
, ANDERSON PRIVATE, 48.381, -99.034, Small, 2000, US/ND
, ANDERSON STRIP, 48.531, -97.628, Small, 2140, US/ND
, ANDIRA, -23.027, -50.228, Small, 3281, BR
, ANDIZHAN, 40.728, 72.294, Small, 9770, US/UT
, ANDRADINA, -20.925, -51.382, Small, 4921, BR
, ANDREW RLA, 40.16, -88.304, Small, 1200, US/IL
, ANDREWS, 31.415, -84.713, Small, 3000, US/GA
, ANDREWS, 37.218, -94.146, Small, 1425, US/MO
, ANDREWS CO, 32.331, -102.53, Small, 5816, US/TX
, ANDREWS MURPHY, 35.195, -83.863, Large, 5500, US/NC
, ANDREWS UNIV ARPK, 41.952, -86.368, Large, 4161, US/MI
, ANDY BARNHART MEMORIAL, 39.931, -84.014, Small, 2000, US/OH
, ANDY FIELDS, 33.464, -84.663, Small, 1500, US/GA
, ANDY MC BETH, 41.512, -123.996, Small, 2400, US/CA
, ANGEL FIRE, 36.422, -105.29, Small, 8900, US/NM
, ANGEL PARK, 46.648, -118.583, Small, 2450, US/WA
, "ANGELS FIELD", 30.481, -84.087, Small, 1900, US/FL
, ANGELINA CO, 31.234, -94.75, Large, 5398, US/TX
, ANGEN FIELD, 45.936, -95.526, Small, 2800, US/MN
, ANGLE BAR M, 38.395, -94.31, Small, 2000, US/MO
, ANGOLA AIRSTRIP, 30.952, -91.585, Small, 2800, US/LA
, ANGRA DOS REIS, -22.975, -44.307, Small, 3117, BR
, ANGWIN PARRETT FLD, 38.579, -122.435, Small, 3217, US/CA
, ANIAK, 61.582, -159.543, Small, 6000, US/AK
, ANIMAS AIR PARK, 37.203, -107.869, Small, 5010, US/CO
, ANITA MUNI KEVIN BURKE MEM FLD, 41.44, -94.77, Small, 2825, US/IA
